Bench Press,Chest,Equipment,Lift up and Down,inclinebenchicon,barbellbenchpresschest
Push Up,Chest,Body,Lift up and Down,pushupicon,pushup
Archer Push Up,Chest,Body,Lift up and Down,pushupicon,archerpushup
Band Low Chest Press,Chest,Equipment,Lift up and Down,cableicon,bandstandinglowchestpress
Barbell Incline Bench Press,Chest,Equipment,Lift up and Down,inclinebenchicon,barbellinclinebenchpress
Band Standing Chest Press,Chest,Equipment,Lift up and Down,cableicon,bandstandingchestpress
Chest Dip,Chest,Body,Lift up and Down,trainingicon,chestdip
Crunchy Frog on Floor,Chest,Body,Lift up and Down,trainingicon,crunchyfrogonfloor
Dumbbell Concentrated Curl,Arms,Equipment,Lift up and Down,alternatecurlicon,dumbbellbicepcurl
Dumbbell Biceps Curl,Arms,Equipment,Lift up and Down,alternatecurlicon,dumbbellbicepcurl
Dummbell Alternate Biceps Curl,Arms,Equipment,Lift up and Down,alternatecurlicon,dumbbellalternatecurl
Cable High Pullet Overhead Tricep Extension,Arms,Equipment,Lift up and Down,pulldownicon,cablehighpulleyextension
Bench Dip on Floor,Arms,Body,Lift up and Down,trainingicon,benchdiponfloor
Brachialis Pull up,Arms,Body,Lift up and Down,trainingicon,brachialispullup
Barbell Standing Shoulders Press,Shoulders,Equipment,Lift up and Down,trainingicon,barbellstandingshoulderpress
Cable One Arm Lateral Raise,Shoulders,Equipment,Lift up and Down,cableicon,cableonearmlateral
Dumbbell Arnold Press,Shoulders,Equipment,Lift up and Down,alternatecurlicon,dumbbellarnoldpress
Dummbell Front Raise,Shoulders,Equipment,Lift up and Down,alternatecurlicon,dumbbellfrontraise
Handstand Shoulder Press with Wall,Shoulders,Body,Lift up and Down,stretchicon,handstandshoulderpresswithwall
Across Chest Shoulder Stretch,Shoulders,Body,Lift up and Down,stretchicon,acrosschestshoulderstretch
Barbell  Squat,Legs,Equipment,Lift up and Down,squaticon,barbellsquat
Barbell Deadlift,Legs,Equipment,Lift up and Down,deadlifticon,barbelldeadlift
Smith Calf Raise,Legs,Equipment,Lift up and Down,bulgarianicon,smithcalfraise
Dumbbell Standing Calf Raise,Legs,Equipment,Lift up and Down,bulgarianicon,dumbbellstandingcalfraise
Bodyweight Standing Calf Raise,Legs,Body,Lift up and Down,bulgarianicon,bodyweightstandingcalfraise
Bodyweight Bulgarian Split Squat,Legs,Body,Lift up and Down,bulgarianicon,bulgariansplitsquat
Sit Squat,Legs,Body,Lift up and Down,stretchicon,sitsquat
Side Lunge,Legs,Body,Lift up and Down,stretchicon,sidelunge
Barbell Bent Over Row,Back,Equipment,Lift up and Down,trainingicon,barbellbentoverrowback
Cable Bar Lateral Pulldown,Back,Equipment,Lift up and Down,cableicon,cablebarlateralpulldown
Cable One Arm Pulldown,Back,Equipment,Lift up and Down,cableicon,cableonearmpulldown
Cable Rope Seated Row,Back,Equipment,Lift up and Down,cableicon,cableropeseatedrow
Chin Up,Back,Body,Lift up and Down,pullupicon,chinup
Hyperextension (on bench),Back,Body,Lift up and Down,stretchicon,hyperextensiononbench
Commando Pull Up,Back,Body,Lift up and Down,pullupicon,commandopullup
Shoulder Grip Pull Up,Back,Body,Lift up and Down,pullupicon,shouldergrippullup
Kettlebell Russian Twist,Abs,Equipment,Lift up and Down,stretchicon,kettlebellrussiantwist
Crunch with Medicine Ball,Abs,Equipment,Lift up and Down,medicineicon,crunchmedicineball
Cable Kneeling Crunch,Abs,Equipment,Lift up and Down,cableicon,cablekneelingcrunch
Barbell Rollout,Abs,Equipment,Lift up and Down,trainingicon,barbellrollout
Sit Up,Abs,Body,Lift up and Down,stretchicon,situpwaist
Bodyweight Windmill,Abs,Body,Lift up and Down,stretchicon,bodyweightwindmill
Chin to Chest Stretch,Abs,Body,Lift up and Down,stretchicon,chincheststretch
Lying Floor Leg Raise,Abs,Body,Lift up and Down,stretchicon,lyingfloorlegraise
